Name,Code,Code_ICAO
21 Air,2I,CSB
25Only Aviation,,ONY
2Excel Aviation,,BRO
40-Mile Air,Q5,MLA
748 Air Services,FE,IHO
9 Air,AQ,JYH
Abakan Air,S5,NKP
ABS Jets,,ABP
Abu Dhabi Aviation,,BAR
ABX Air,GB,ABX
Acass Ireland,,SON
Advanced Air,AN,WSN
Aegean Airlines,A3,AEE
Aer Lingus,EI,EIN
Aer Lingus UK,EG,EUK
AerCaribe,JK,ACL
Aero,N2,NIG
Aero Charter,,GLT
Aero Charter and Transport,,CTA
Aero Guernsey,,AEO
Aero K,RF,EOK
Aero Mongolia,M0,MNG
Aero Nomad Airlines,,ANK
Aero Regional,,RER
Aero-Beta Flight Training,,ABA
Aero-Dienst,,ADN
Aero-Service,,RSR
Aerodynamics,4A,DYN
Aeroflot,SU,AFL
Aerolineas Argentinas,AR,ARG
Aerolineas Sosa,P4,NSO
Aerolink Uganda,A8,XAU
AeroLogic,3S,BOX
Aeromar,VW,TAO
Aeromexico,AM,AMX
Aeromexico Connect,5D,SLI
Aeronaves TSM,,VTM
Aeronova,X5,OVA
Aeropartner,,DFC
Aeroservicios de la Costa,,TAA
Aerostan,,BSC
Aerosul Linhas Aereas,,ASO
Aerotec,,AEP
Aerotours,,ATU
Aerotranscargo,F5,ATG
AeroUnion,6R,TNO
Aerovias DAP,V5,DAP
Aerovis Airlines,,VIZ
Aerro Direkt,4D,DIR
AF-Aviation,,AFF
Afric Aviation,L8,EKG
Africa World Airlines,AW,AFW
African Express Airways,XU,AXK
Afrijet,J7,ABS
Afriqiyah Airways,8U,AAW
Air 1st Aviation,,RUF
Air Albania,ZB,ABN
Air Algerie,AH,DAH
Air Alliance,,AYY
Air Alsie,6I,MMD
Air Antilles,3S,GUY
Air Arabia,G9,ABY
Air Arabia Abu Dhabi,3L,ADY
Air Arabia Egypt,E5,RBG
Air Arabia Maroc,3O,MAC
Air Astana,KC,KZR
Air Atlanta Europe,,AAE
Air Atlanta Icelandic,CC,ABD
Air Austral,UU,REU
Air Bagan,W9,JAB
Air Baltic,BT,BTI
Air Belgium,KF,ABB
Air Bohemia,,BOH
Air Botswana,BP,BOT
Air Bucharest,,BUR
Air Burkina,2J,VBW
Air Busan,BX,ABL
Air Cairo,SM,MSC
Air Caledonie,TY,TPC
Air Canada,AC,ACA
Air Canada Rouge,RV,ROU
Air Caraibes,TX,FWI
Air Care Alliance,,CMF
Air Cargo Carriers,2Q,SNC
Air Cargo Global,CW,CCC
Air Century,Y2,CEY
Air Changan,9H,CGN
Air Charity Network,,NGF
Air Charter Scotland,,EDC
Air Charter Scotland Europe,,SCO
Air Chathams,3C,CVA
Air China,CA,CCA
Air China Cargo,,CAO
Air China Inner Mongolia,,CNM
Air Choice One,3E,ACO
Air CM Global,,RJR
Air Corsica,XK,CCM
Air Costa Rica,RI,RII
Air Cote d'Ivoire,HF,VRE
Air Creebec,YN,CRQ
Air Deccan,,DKN
Air Do,HD,ADO
Air Dolomiti,EN,DLA
Air Europa,UX,AEA
Air Excel,,XLL
Air Falcon,FS,FPK
Air Flamenco,F4,WAF
Air France,AF,AFR
Air France Hop,A5,HOP
Air Ghana,,GHN
Air Greenland,GL,GRL
Air Guilin,GT,CGH
Air Hamburg,,AHO
Air Hong Kong,LD,AHK
Air Horizont,HT,HAT
Air Incheon,KJ,AIH
Air India,AI,AIC
Air India Express,IX,AXB
Air Inuit,3H,AIE
Air Japan,NQ,AJX
Air KBZ,K7,KBZ
Air Kiribati,IK,AKL
Air Koryo,JS,KOR
Air Leisure,AL,ALD
Air Liaison,DU,LSJ
Air Libya,7I,TLR
Air Loyaute,,RLY
Air Macau,NX,AMU
Air Madagascar,MD,MDG
Air Malta,KM,AMC
Air Manas,ZM,MBB
Air Mauritius,MK,MAU
Air Mediterranean,MV,MAR
Air Moldova,9U,MLD
Air Montenegro,,MNE
Air Namibia,SW,NMB
Air New Zealand,NZ,ANZ
Air Niugini,PX,ANG
Air North,4N,ANT
Air Nostrum,YW,ANE
Air Nunavut,,BFF
Air Ocean Airlines,,AOA
Air Panama,7P,PST
Air Peace,P4,APK
Air Premia,YP,APZ
Air Rarotonga,GZ,RAR
Air Saint-Pierre,PJ,SPM
Air Senegal,HC,SZN
Air Seoul,RS,ASV
Air Seychelles,HM,SEY
Air Sinai,4D,ASD
Air Sunshine,,RSI
Air Tahiti,VT,VTA
Air Tahiti Nui,TN,THT
Air Tanzania,TC,ATC
Air Taxi & Charter International,,IBJ
Air Thanlwin,ST,AYG
Air Tindi,8T,TIN
Air Transat,TS,TSC
Air Transport Europe,,EAT
Air Transport International,8C,ATN
Air Travel,A6,OTC
Air Urga,3N,URG
Air Vanuatu,NF,AVN
Air Volta,,VLB
Air Wisconsin,ZW,AWI
Air X Charter,,AXY
Air Zimbabwe,UM,AZW
Air-Taxi Europe,,TWG
AirACT,9T,RUN
AirAsia,AK,AXM
AirAsia India,I5,IAD
AirAsia X,D7,XAX
Airbahn,UN,ARB
AirBlue,PA,ABQ
AirBridgeCargo Airlines,RU,ABW
Airbus,,AIB
Airbus Transport International,4Y,BGA
Aircalin,SB,ACI
Aircompany Armenia,RM,NGT
Aireon Canada,,AEN
Airest,,AEG
AirExplore,ED,AXE
Airfast Indonesia,,AFE
AirGO Private Airline,,XGO
Airhub Airlines,,GJM
Airkenya Express,P2,XAK
Airlec Air Espace,,ARL
Airlift International,,AIR
Airlink,,JAR
Airlink,4Z,LNK
AirNet,,USC
Airnorth,TL,ANO
Airpac Airlines,,APC
AirPink,,PNK
AirSERBIA,JU,ASL
AirSF Flight Services,,XSN
AirShare,,XSR
AirSial,PF,SIF
AirSmart,,XSM
Airsprint,,ASP
AirSWIFT,T6,ATX
AirTanker,9L,TOW
Airwing,,NWG
Airwork,,AWK
AIS Airlines,,PNX
Ajwaa Airlines,,AJY
Al-Naser Wings,NG,NAD
Alante Air Charter,,SVL
Alaska Airlines,AS,ASA
Alaska Central Express,KO,AER
AlbaStar,AP,LAV
Albatros Airlines,G0,GAL
Albawings,2B,AWT
Albinati Aeronautics,,LUC
Albinati Aeronautics,,ULC
Alexandria Airlines,DQ,KHH
Algonquin Airlink,,FSY
Alidaunia,D4,LID
AlisCargo Airlines,CP,LSI
Aliserio,,TJD
ALK Airlines,,VBB
Alkan Air,,ALN
Alkan Air,,AKN
All Nippon Airways,NH,ANA
Allegiant Air,G4,AAY
Alliance Air,9I,LLR
Alliance Airlines,QQ,UTY
Allied Air,4W,AJK
AlMasria Universal Airlines,UJ,LMU
Aloha Air Cargo,KH,AAH
Alphaland Aviation,,BIC
Alpine Air Express,5A,AIP
Alpine Flightservice,,FSE
Alrosa,6R,DRU
ALS,,ALW
Altagna,,AGH
Amakusa Airlines,MZ,AHX
Amapola Flyg,HP,APF
Amaszonas,Z8,AZN
AMC Airlines,,AMV
AMC Aviation,,AMQ
Amelia,8R,AIA
Amelia International,NL,AEH
American Air Charter,,GTW
American Airlines,AA,AAL
Ameriflight,A8,AMF
Amerijet International,M6,AJT
Ameristar,7Z,AJI
AMREF Flying Doctors,,FDS
AMS Airlines,,GEO
ANA Wings,EH,AKX
Anda Air,DM,SSV
Andes Lineas Aereas,,ANS
Angara Airlines,2G,AGU
Anguilla Air Services,Q3,AXL
Animawings,A2,AWG
Antonov Airlines,,ADB
APG Airlines,GP,RIV
Arajet,DM,DWI
Arcus Air,,AZE
Ariana Afghan Airlines,FG,AFG
Arik Air,W3,ARA
Arkia Israeli Airlines,IZ,AIZ
Armenia Airways,6A,AMW
Aruba Airlines,AG,ARU
ASAS Linhas Aereas,,CEU
ASG Business Aviation,,ESW
Asia Pacific Airlines,P9,MGE
Asia Sky Lines,,LIC
Asiana Airlines,OZ,AAR
Asky Airlines,KP,SKK
ASL Airlines,,ABR
ASL Airlines Belgium,3V,TAY
ASL Airlines France,5O,FPO
ASL Airlines Hungary,,FAH
ASL Airlines UK,,ABV
Astonjet,,ASJ
Astral Aviation,8V,ACP
ATA Airlines,I3,TBZ
ATI Jet,,CYO
Atlantic Airways,RC,FLI
Atlas Air,5Y,GTI
Atlas Air Service,,ATL
Atran,V8,VAS
Aura Airlines,U5,GWR
Auric Air,UI,AUK
Aurigny Air Services,GR,AUR
Aurora,HZ,SHU
Austrian Airlines,OS,AUA
Avanti Air,,ATV
Avcenter,,TTE
Avcon Jet,,AOJ
Avcon Jet Malta,,VCJ
Avcon Jet San Marino,,VAJ
Avelo Airlines,XP,VXP
Avia Traffic,YK,AVJ
Aviacon Zitotrans,ZR,AZS
Avianca,AV,AVA
Avianca Cargo,QT,TPA
Avianca Central America,TA,TAI
Avianca Costa Rica,LR,LRC
Avianca Ecuador,2K,GLG
Avianca Express,EX,AVR
Avianca Guatemala,GU,GUG
Aviastar,,VIT
Aviastar-TU,4B,TUP
Aviation Advisor,,LKF
Aviation Horizons,,HZS
Avion Express,X9,NVD
Avion Express Malta,,MLH
Avionord,,VND
Avior Airlines,9V,ROI
Azerbaijan Airlines,J2,AHY
Azimuth,A4,AZO
Azman Air,ZQ,AZM
Azores Airlines,S4,RZO
Aztec Airways,AJ,AZY
Azul Conecta,2F,ACN
Azul Linhas Aereas,AD,AZU
Azur Air,ZF,AZV
Azur Air Ukraine,QU,UTN
BA CityFlyer,CJ,CFE
Babcock MCS Espana,UV,INR
Babcock MCS France,,PTH
Babcock MCS Italia,,ELH
Babcock MCS Offshore,,BND
Babcock MCS Onshore,,RHD
Babcock Scandinavian AirAmbulance,,DFL
Baden Aircraft Operations,,BAO
Badr Airlines,J4,BDR
BAe Systems,,BAE
BAe Systems Marine,,VSB
Bahamasair,UP,BHS
Bakhtar Afghan Airlines,BM,BFO
Bamboo Airways,QH,BAV
Bangkok Airways,PG,BKP
BankAir,,BKA
Bar XH Air,,BXH
Baron Aviation Services,,BVN
Bassaka Air,5B,BSX
Batik Air,ID,BTK
Bearskin Airlines,JV,BLS
Bees Airline,7B,UBE
Beijing Airlines,,BJN
Bel Air Aviation,,BBX
Belavia,B2,BRU
Bemidji Airlines,CH,BMJ
Bering Air,8E,BRG
Berjaya Air,J8,BVT
Berniq Airways,NB,BNL
Berry Aviation,,BYA
Bestfly Aruba,,BFY
Bestfly Cabo Verde,3B,BCV
BH Air,8H,BGH
Bhutan Airlines,B3,BTN
Bighorn Airways,,BHR
Biman Bangladesh Airlines,BG,BBC
BinAir,,BID
Binter Canarias,NT,IBB
Bioflight,,BIO
Bismillah Airlines,BH,BML
Blue Air,0B,BLA
Blue Bird Aviation,,BLB
Blue Dart Aviation,BZ,BDA
Blue Islands,SI,BCI
Blue Square Aviation,,BSG
Bluebird Airways,BZ,BBG
Bluebird Aviation,,BBZ
Bluebird Nordic,BO,BBD
Boeing,,BOE
Boliviana de Aviacion,OB,BOV
Bookajet,,BOO
Boutique Air,4B,BTQ
BRA,TF,BRX
Bravo Airways,,BAY
Breeze Airways,MX,MXY
Bristow Helicopters,,BHL
Bristow Nigeria,,BHN
Bristow Norway,,NOR
Bristow US,L9,BTZ
British Airways,BA,BAW
British Airways Shuttle,,SHT
Bromma Air Maintenance,,CFL
Brussels Airlines,SN,BEL
Budapest Aircraft Service,RP,BPS
Buddha Air,U4,BHA
Budget Lines,BD,BGN
Buffalo Airways,,BFL
Bul Air,LB,BVL
Bulgaria - Government,,BGF
Bulgaria Air,FB,LZB
Buraq Air,UZ,BRQ
Business Wings,,JMP
Buzz,RR,RYS
C&M Airways,,RWG
Cabo Verde Airlines,VR,TCV
Caicos Express Airways,9Q,CXE
CAL Cargo Airlines,5C,ICL
Calafia Airlines,A7,CFV
Calm Air,MO,CAV
Calstar,,CMD
Camair-Co,QC,CRC
Cambodia Airways,KR,KME
Cambodia Angkor Air,K6,KHV
Cambodia Bayon Airlines,BD,BYC
Cameroon Airlines,UY,UYC
Canada - Department of Transport,,TGO
Canadian Airways Congo,,TWC
Canadian North,5T,AKT
Canarias Airlines,,RSC
CanaryFly,PM,CNF
Canavia,,CNA
Canjet Airlines,C6,CJA
Canlink Aviation,,MFC
CanWest Air,,CWA
Cape Air,9K,KAP
Capital Air Ambulance,,EGL
Capital Airlines,JD,CBJ
Capital City Air Carriers,,CCQ
Cardiff Aviation Malta,,SGO
Cardig Air,8F,CAD
Cargo Air,,CGF
Cargo Three,C3,CTW
Cargojet Airways,W8,CJT
CargoLogic Germany,6L,GCL
CargoLogicAir,P3,CLU
Cargolux,CV,CLX
Cargolux Italia,C8,ICV
Caribbean Airlines,BW,BWA
Carpatair,V3,KRP
Carson Air,,CRN
Caspian Airlines,IV,CPN
Castle Aviation,,CSJ
CAT Aviation,,CAZ
Cathay Pacific,CX,CPA
Catreus,,VCG
Cavok Air,,CVK
Cayman Airways,KX,CAY
Cebgo,DG,SRQ
Cebu Pacific,5J,CEB
Ceiba Intercontinental,C2,CEL
CemAir,5Z,KEM
Central Air Southwest,,CTL
Central Airlines,I9,HLF
Central Mountain Air,9M,GLR
Centreline,,CLF
Chair Airlines,GM,GSW
Chalair Aviation,CE,CLG
Challenge Airlines,X7,CHG
Cham Wings Airlines,6Q,SAW
Charter Jets,,LTC
Chartright Air,,HRT
CHC Helicopter,,HMB
CHC Helicopters Netherlands,,HNL
CHC Helicopters Nigeria,,ATQ
CHC Helikopter Service,,HKS
CHC International,,GCY
Chengdu Airlines,EU,UEA
Chervon Corporation,,GLH
Chicago Jet Group,,WDY
China Airlines,CI,CAL
China Cargo Airlines,CK,CKK
China Central Longhao Airlines,GI,LHA
China Eastern Airlines,MU,CES
China Express Airlines,G5,HXA
China Postal Airlines,CF,CYZ
China Southern Airlines,CZ,CSN
China United Airlines,KN,CUA
Chongqing Airlines,OQ,CQN
Chrono Aviation,,NDL
Cinnamon Air,C7,CIN
CITIC Offshore Helicopter,,CHC
Citilink,QG,CTV
Cityjet,WX,BCY
Civil Air Patrol,,CAP
Class Aviation,,DUC
Clipper Jet,,ORO
CM Airlines,CC,OMT
Coastal Aviation,CQ,CSV
Cobalt Air,CO,FCB
Cobham Aviation,NC,JTE
Cobham Aviation Services Australia,,NJS
Cobham Flight Inspection,,CLB
Colorful GuiZhou Airlines,GY,CGZ
Comair,MN,CAW
Comlux Aruba,CS,CXB
Comlux Aviation,,CLA
Comlux Aviation Malta,,MLM
CommutAir,C5,UCA
Compania Aeronautica Italiana,,CPI
Compass Cargo Airlines,,ADZ
Conair,,FGD
Condor,DE,CFG
Congo Airways,8Z,CGA
Connect Linhas Aereas,6C,CNT
Conquest Air,C4,QAI
Contour Aviation,LF,VTE
Conviasa,V0,VCV
Copa Airlines,CM,CMP
Copenhagen Airtaxi,,CAT
Corendon Airlines,XC,CAI
Corendon Airlines Europe,XR,CXI
Corendon Dutch Airlines,CD,CND
Corporate Air,,CPT
Corporate Air,,MLN
Corsair,SS,CRL
Costa Rica Green Airways,GW,GRA
Cristalux,Z7,AUZ
Croatia Airlines,OU,CTN
Cronos Airlines,C8,CRA
Cronos Airlines Benin,,CKL
CSA Air,,IRO
CSI Aviation,,CSI
Cubana,CU,CUB
Cygnus Air,,RGN
Cyprus Airways,CY,CYP
Czech Airlines,OK,CSA
Daallo Airlines,D3,DAO
Dalian Airlines,,CCD
Dana Air,9J,DAN
Dassault Falcon Service,,DSO
DAT,DX,DTR
DAT LT,R6,DNU
DC Aviation,,DCS
DEA Aviation,,WKT
Deer Jet,,DER
Deer Jet Beijing,,BDJ
Delta Air Lines,DL,DAL
Delta Private Jets,,DPJ
Dena Airways,D9,DAI
Denim Air,G6,DNM
Desert Jet,,DJR
DHL,D0,DHK
DHL Aero Expreso,D5,DAE
DHL Air Austria,Q7,DHA
DHL Aviation EEMEA,ES,DHX
Diamond Sky,,DMS
Directflight,,DCT
Divi Divi Air,3R,DVR
Dniproavia,,UDN
Donghai Airlines,DZ,EPA
Dornier Aviation Nigeria Aiep,DO,DAV
Douniah Airlines,DH,DTS
Dreamline Aviation,,DLX
Druk Air,KB,DRK
Dubai Air Wing,,DUB
E-Aviation,,EFD
E-Cargo Airlines,RF,ERF
EADS CASA,,AED
Eagle Air,,EGU
Eagle Air Iceland,,FEI
Eagle Airways,,EAG
Eagle Atlantic Airlines,,EAB
Eagle Creek Aviation,,EGC
EagleMed,,EMD
East Coast Jets,,ECJ
East-West Express,,EWU
Eastar Jet,ZE,ESR
Eastern Airlines,2D,EAL
Eastern Airways,T3,EZE
Eastern Australia Airlines,,EAQ
EasyFly,VE,EFY
easyJet,U2,EZY
easyJet Europe,EC,EJU
easyJet Switzerland,DS,EZS
EATIS,,SRK
Eclair Aviation,,ECC
ECO Airlines,,EKO
EcoJet,8J,ECO
Edelweiss Air,WK,EDW
EGO Airways,E3,EGW
EGT Jet,,EGT
EgyptAir,MS,MSR
EgyptAir Cargo,,MSX
El Al,LY,ELY
Elitavia,,EAV
Elitavia Malta,,EAU
Elite Airways,7Q,MNU
Ellinair,EL,ELB
Embraer,,EMB
Emerald Airlines,,EAI
Emetebe.com.ec,,EMT
Emirates,EK,UAE
Emperor Aviation,,EMM
Empire Airlines,EM,CFS
Empire Aviation,,MJE
ENAC Ecole Aviation Civile,,NAK
Encore Air Cargo,,DKT
Endeavor Air,9E,EDV
Enter Air,E4,ENT
Envoy Air,MQ,ENY
Epsilon Aviation,,GRV
equair,,EQX
Eritrean Airlines,B8,ERT
Estafeta,E7,ESF
Estelar,ES,ETR
ETF Airways,LI,EZZ
Ethiopian Airlines,ET,ETH
Etihad Airways,EY,ETD
Euro Link,,EUL
Euro-Asia Air,5B,EAK
EuroAtlantic Airways,YU,MMZ
Eurocopter Deutschland,,RDF
European Air Charter,H6,BUC
European Air Transport,QY,BCS
European Cargo,,URO
European Flight Academy,,PTO
European Flight Service,,EUW
European Flyers,,FYS
European SAO,,EKT
Eurowings,EW,EWG
Eurowings Discover,4Y,OCN
Eurowings Europe,E2,EWE
EVA Air,BR,EVA
Everts Air Alaska,5V,VTS
EWA Air,ZD,EWR
Excellent Air,,ECA
Execuflight,,EFT
Execujet Middle East,,EJO
Execujet Scandinavia,,VMP
Executive Jet Charter,,EXJ
Executive Jet Management,,EJM
Executive Jet Management,,JME
Exploits Valley Air Services,8K,EVS
Express Air Cargo,7A,XRC
Express Freighters Australia,QE,EFA
ExpressJet,EV,ASQ
ExpressJet Airlines,XE,BTA
Exxaero,,XRO
EZ Air,7Z,EZR
Eznis Airways,MG,EZA
FAI rent-a-jet,,IFA
Far Eastern Air Transport,FE,FEA
Fastjet,FN,FTZ
Fastjet Zimbabwe,FN,FJW
FedEx,FX,FDX
Fenix Air Charter,,FNX
Feuerwehr-Flugdienst Niedersachsen,,FFD
Fiji Airways,FJ,FJI
Fiji Link,,FJA
Finnair,AY,FIN
Firefly,FY,FFM
First Air,7F,FAB
First Nation Airways,,FRN
FitsAir,8D,EXV
Flair Airlines,F8,FLE
Fleet Air International,,FRF
Flexflight,W2,FXT
Flexjet,,LXJ
Flexjet Europe,,FLJ
Flexjet Operations Malta,,FJO
Flight Calibration Services,,FCK
Flight Calibration Services,,VOR
Flight options,,OPT
Flight Training Europe,,AYR
FlightExec,,FEX
Flightline,,FTL
Fltplan,,DCM
Flugfelag Islands,NY,FXI
Fly 7,,FSF
Fly Africa Zimbabwe,ZC,FZW
Fly Air41,,BER
Fly AllWays,8W,EDR
Fly Angola,EQ,FLA
Fly Armenia Airways,VF,FBB
Fly Art,T2,FLB
Fly Baghdad,IF,FBA
Fly Gangwon,4V,FGW
Fly Jamaica,OJ,FJM
Fly Jordan,F0,FJR
Fly One,5F,FIA
Fly SAX,,EXZ
Fly Sky Airlines,,FSQ
Fly Sky Airlines,,FSU
Fly Tyrol,,FTY
Fly2Sky,,VAW
Fly540,5H,FFV
Flyadeal,F3,FAD
FlyBig,S9,FLG
Flybondi,FO,FBZ
FlyBosnia,6W,FBS
FlyDamas,4J,FDK
FlyDubai,FZ,FDB
FlyEgypt,FT,FEG
FlyGTA Airlines,SX,TOR
Flying Business Aviation,,FBX
Flying Service,,FYG
FlyMe,VP,VQI
FlyMontserrat,5M,MNT
Flynas,XY,KNE
FlyPelican,FP,FRE
Flyr,FS,FOX
FlySafair,FA,SFR
FlySchool,,FSM
FR Aviation,,FRA
Freebird Airlines,FH,FHY
Freebird Airlines Europe,,FHM
Freight Runners Express,,FRG
French Bee,BF,FBU
Frontier Airlines,F9,FFT
Fuji Dream Airlines,JH,FDA
Fuzhou Airlines,FU,FZA
Galistair,GH,GTR
Gama Aviation (UK),,GMA
Gama Aviation (US),,GAJ
Garuda Indonesia,GA,GIA
Gazpromavia,4G,GZP
GCA Airlines,9A,GCA
General Atomic AeroTech Systems,,DOR
Genex,,GNX
Genghis Khan Airlines,9D,NMG
Geo Sky Airline,,GEL
Georgian Airways,A9,TGZ
German Airways,ZQ,GER
Gesellschaft Fur Flugzieldarstellung,,GFD
Gestair,,GES
GetJet Airlines,GW,GJT
Getjet Airlines Latvia,,DML
Global Air Charters,,GJE
Global Crossing Airlines,G6,GXA
Global Jet Luxembourg,,SVW
Global Supply Systems,,GSS
GlobeAir,,GAC
Globus,GH,GLP
Go First,G8,GOW
GoJet ,G7,GJS
GOL Linhas Aereas,G3,GLO
Goldeck Flug,,GDK
Golden Myanmar Airlines,Y5,GMR
Gouvernement du Quebec,,QUE
Grafair,,GFM
Grand Canyon Airlines,YR,CVU
Grand China Air,CN,GDC
Grant Aviation,GV,GUN
Greater Bay Airlines,HB,HGB
Green Africa Airways,Q9,GWG
Greybird Aviation,,GAG
GTA Air,,GTX
Gulf Air,GF,GFA
Gulf and Caribbean Cargo,IF,TSU
Gulf Wings,,GWC
GullivAir,G2,GBG
Guna Airlines,,GUA
GX Airlines,GX,CBG
Hahn Air,HR,HHN
Hai Au Aviation,,HAI
Hainan Airlines,HU,CHH
Hangar 8,,HGR
Hans Airways,,GKS
Harmony Jets,,HMJ
Hawaiian Airlines,HA,HAL
Hebei Airlines,NS,HBH
Heli Air Monaco,YO,MCM
Heli Holland,,HHE
Heli Securite,HS,HLI
Heli Service International,,HSO
Helijet International,,JBA
Helistar,,HSR
HELITY Copter Airlines,,HTY
Helvetic Airways,2L,OAW
Hera Flight,,HER
Hermes Airlines,H3,HRM
Heron Aviation,,HRN
Heston Airlines,HN,HST
Hi Air,4H,HGG
Hi Fly,5K,HFY
Hi Fly Malta,5M,HFM
Hibernian Airlines,HG,HBN
Himalaya Airlines,H9,HIM
Hinterland Aviation,OI,HND
HiSky,H7,HYM
HiSky Europe,H4,HYS
Hokkaido Air System,,NTH
Holiday Europe,5Q,HES
Hong Kong Air Cargo,RH,HKC
Hong Kong Airlines,HX,CRK
Hong Kong Express,UO,HKE
Hop-A-Jet,,HPJ
Horizon Air,QX,QXE
HTM Helicopter Travel Munich,,HTM
Hummingbird Aviation,,ETI
Hunnu Air,MR,MML
Hydro Quebec,0Q,HYD
Hyperion Aviation,,HYP
I-Fly,F7,RSY
iAero Airways,WQ,SWQ
IBC Airways,II,CSQ
Iberia,IB,IBE
Iberia Express,I2,IBS
Iberojet,E9,EVE
Ibex Airlines,FW,IBX
Ibom Air,QI,IAN
Icaro,X8,ICD
Icelandair,FI,ICE
ICS-Aero,,ICF
IFL Group,,IFL
ImperialJet,,JTI
IndiGo,6E,IGO
Indonesia AirAsia,QZ,AWQ
iNTAIRLINE,,ITI
Intel Air Shuttle,,HGT
InterCaribbean Airways,JY,IWY
InterJet West,K8,IJW
International Committee of the Red Cross,,RED
International Jet Management,,IJM
InterSky,3L,ISK
IrAero,IO,IAE
Iran Air,IR,IRA
Iran Airtour,B9,IRB
Iran Aseman Airlines,EP,IRC
Iraqi Airways,IA,IAW
IRS Airlines,,LVB
Israir Airlines,6H,ISR
Italfly,,ITL
