Name,Code,Code_ICAO
Italia Trasporto Aereo,AZ,ITY
Itapemirim Transportes Aereos,8I,IPM
iXAir,,IXR
Izair,4I,IZM
Izhavia,I8,IZA
J-Air,JL,JLJ
JA Air Charter,,LTD
JAL Express,JC,JEX
Jambojet,JM,JMA
Japan Air Commuter,3X,JAC
Japan Airlines,JL,JAL
Japan Transocean Air,NU,JTA
Jasmin Airways,JO,JAW
Jazeera Airways,J9,JZR
Jazz Aviation,QK,JZA
JC Airlines,QD,JCC
JC Bamford Excavators,,JCB
Jeju Air,7C,JJA
Jet Airways,9W,JAI
Jet Asia Airways,JF,JAA
Jet Aviation Business Jets,,PJS
Jet Aviation Flight Services,,JAS
Jet Aviation Zurich Airport,,VCN
Jet Charter,N2,JCT
Jet Edge,,EDG
Jet Executive,,JEI
Jet Express,,RFE
Jet Fly Airline,,JFL
Jet It,,JIT
Jet Linx Aviation,,JTL
Jet Logistics,,JLG
Jet Story,,JDI
Jet Test International,,JTN
Jet2,LS,EXS
Jetair Caribbean,4J,JRC
Jetalliance East,,PLS
Jetbee Czech,,JBC
JetBlue Airways,B6,JBU
Jetcall,,JCL
Jetclub,0J,JCS
Jetconnect,,QNZ
JetFlite,,JEF
Jetfly Aviation,,JFA
Jetkontor,,JKH
JetLite,S2,JLL
JetNetherlands,,JNL
JetRight,,JRT
JetSMART,JA,JAT
JetSMART Argentina,WJ,JES
Jetstar Airways,JQ,JST
Jetstar Asia,3K,JSA
Jetstar Japan,GK,JJP
JetStream,,JSH
Jetsuite Air,,RSP
Jettime,,JTD
Jetways Airlines,WU,JWX
Jiangsu Jingdong Cargo Airlines,,JDL
Jiangxi Air,RY,CJX
Jin Air,LJ,JNA
Jinxiang Airlines,,JXX
Jivair,,JIV
Jonair,,JON
Jonika,,JNK
Jordan Aviation,R5,JAV
Jordan International Air Cargo,,JCI
Jota Aviation,,ENZ
JoyAir,JR,JOY
JSX,XE,JSX
Jubba Airways,JZ,JBW
Juneyao Air,HO,DKH
Jung Sky,,JSY
Just Us Air,,JOC
K-Mile Air,8K,KMI
K5-Aviation Germany,,KAY
KaiserAir,,KAI
Kalitta Air,K4,CKS
Kalitta Charters,K9,KFS
Kalitta Charters II,CB,KII
Kam Air,RQ,KMF
Kamaka Air,,KMK
Kan Air,K8,KND
KAP.kg,AB,KGS
Kargo Xpress,WW,KXP
Kartika Airlines,3Y,KAE
Karun Airlines,,KRU
KD Air,,KDC
Keewatin Air,FK,KEW
Kelowna Flightcraft Air,FK,KFA
Kenmore Air,M5,KEN
Kenn Borek Air,4K,KBA
Kenya Airways,KQ,KQA
Key Air,,KEY
Key Lime Air,KG,LYM
Keystone Air Service,,KEE
Khors Air,,KHO
Kish Air,,KIS
KlasJet,,KLJ
KLM,KL,KLM
KLM Cityhopper,WA,KLC
KN Helicopters,,SHW
Komiaviatrans,KO,KMA
Korean Air,KE,KAL
Kosmos Airlines,,KSM
Krasavia,KI,SSJ
Kunming Airlines,KY,KNA
Kuwait Airways,KU,KAC
La Compagnie,B0,DJT
Labcorp,,SKQ
LADE,5U,LDE
LAM,TM,LAM
Lanmei Airlines,LQ,MKR
Lao Airlines,QV,LAO
Lao Skyway,LK,LLL
LAS Cargo,4L,LAU
Laser Airlines,QL,LER
LATAM Airlines,LA,LAN
LATAM Brasil,JJ,TAM
LATAM Cargo Brasil,M3,LTG
LATAM Cargo Chile,UC,LCO
LATAM Cargo Colombia,L7,LAE
LATAM Chile,LU,LXP
LATAM Colombia,4C,ARE
LATAM Ecuador,XL,LNE
LATAM Paraguay,PZ,LAP
LATAM Peru,LP,LPE
Lauda Europe,LW,LDA
LC Peru,W4,LCB
Leader,,LSA
Legacy Airways,,LGF
LIAT,LI,LIA
Libyan Airlines,LN,LAA
Libyan Wings,YL,LWA
Liebherr,,LHB
Lift Airline,GE,GBB
Limitless Airways,,LIM
Línea Turística Aereotuy,,TUY
Lion Air,JT,LNI
Lipican Aer,,LIP
LLC H3Operations,,UHO
Loganair,LM,LOG
LongJiang Airlines,LT,SNG
Longtail Aviation,6T,LGT
Loong Air,GJ,CDC
LOT,LO,LOT
Lucky Air,8L,LKE
Lufthansa,LH,DLH
Lufthansa Cargo,,GEC
Lufthansa CityLine,CL,CLH
Lufttransport,,LTR
Lunds Universitet,,UNY
Luxair,LG,LGL
Luxaviation,,LXA
Luxaviation Belgium,,AAB
Luxaviation E.A,,LMJ
Luxaviation Germany,,LXG
Luxaviation UK,,LNX
Luxembourg Air Ambulance,,LRQ
Luxwing,BN,LWG
Lydd Air,,LYD
Lynden Air Cargo,L2,LYC
Lynx Air,Y9,DAT
Magnicharters,UJ,GMT
Mahan Air,W5,IRM
Makers Air,,WMA
Malawian Airlines,3W,MWI
Malaysia Airlines,MH,MAS
Maldivian,Q2,DQA
Maleth-Aero,DB,MLT
Mali Air,,MAE
Malindo Air,OD,MXD
Malta Air,AL,MAY
Manasik Aviation,,MNM
Mandarin Airlines,AE,MDA
Mango,JE,MNO
Mann Yadanarpon Airlines,7Y,MYP
Manta Air,NR,MAV
Map Linhas Aereas,7M,PAM
Martinair Holland,MP,MPH
Martinaire,,MRA
MasAir Cargo Airline,M7,MAA
MASwings,MY,MWG
Mauritania Airlines International,L6,MAI
Max Air,VM,NGL
Max Aviation,,MAX
Maxair,,NTW
Maximus Airlines,6M,MXM
Maya Island Air,2M,MYD
MAYAir,7M,MYI
McCall Aviation,,MKL
McNeely Charter Services,,MDS
MEA,ME,MEA
Med-View Airline,VL,MEV
Medavia,,MDM
Mel Air,5M,MDO
Meraj Airlines,,MRJ
Mercury Air Cargo,4X,MEC
Meridian,,MEM
Meridian Air Company,,MMM
Mesa Airlines,YV,ASH
MHS Aviation,M2,MHV
Miami Air International,LL,BSK
Miami Air Lease,,MGD
MIAT Mongolian Airlines,OM,MGL
Mid Africa Aviation,,MFG
Midwest Aviation,,DZR
Midwest Aviation Division,,MWT
MJet,,MJF
MNG Airlines,MB,MNB
Moçambique Expresso,,MXE
Modern Logistics,WD,MWM
Monacair,QM,MCR
Morningstar Air Express,,MAL
Motor Sich Airlines,M9,MSI
Mount Cook Airline,NM,NZM
Mountain Air Cargo,C2,MTN
Mountain Aviation,,FTH
Move,,MVE
My Indo Airlines,2Y,MYU
My Jet Saver,,MJS
Myanmar Airways International,8M,MMA
Myanmar National Airlines,UB,UBA
MyWay Airlines,MJ,MYW
Naljets Limited,,APX
Nam Air,IN,LKN
Nantucket Airlines,,ACK
National Air Charters,JY,JYA
National Airlines,N8,NCR
National Airways,,NAE
National Jet Systems,,QJE
Nauru Airlines,ON,RON
Naysa,ZN,NAY
Neos,NO,NOS
Nepal Airlines,RA,RNA
Nesma Airlines,NA,NSS
Nesma Airlines,NE,NMA
NetJets,1I,EJA
NetJets Europe,,NJE
Netjets UK,,NJU
Network Aviation,,NWK
New England Airlines,EJ,NEA
New England Patriots,,UDG
NHC Northern Helicopter,,NHC
NHV,,NHD
NHV Helicopters,,NHZ
NightExpress,,EXT
Nile Air,NP,NIA
Nippon Cargo Airlines,KZ,NCA
Nok Air,DD,NOK
Nolinor Aviation,N5,NRL
Nomadic Aviation,,OMD
Noordzee Helikopters Vlaanderen,,NHX
Nordica,ND,NDA
NordStar,Y7,TYA
Nordwind Airlines,N4,NWS
Norlandair,,FNA
NORRA,N7,FCM
North Cariboo Air,,NCB
North Central,,NCJ
North Flying,,NFA
North Pole Parcel Service,,R3D
North Star Aviation,,MVK
North-West Air Company,0E,NWC
North-Western Cargo International Airlines,CO,CNW
North-Wright Airways,HW,NWL
Northeastern Aviation Corporation,,NEW
Northern Air Cargo,NC,NAC
Northern Thunderbird Air,,NTA
Northwest Flyers,,NWF
Northwestern Air,J3,PLR
Norwegian,,NAX
Norwegian Air International,,IBK
Norwegian Air Shuttle AOC,DY,NOZ
Norwegian Air Sweden,LE,NSW
Norwegian Air Sweden AOC,D8,NSZ
Norwegian Air UK,DI,NRS
Norwegian Long Haul,,NLH
Nouvelair Tunisie,BJ,LBT
Nova Airways,,NOV
Novair,NG,NAI
Novair,N9,NVR
Novoair,VQ,NVQ
Nyxair,OJ,NYX
OK Aviation Group,,NTF
Okay Airways,BK,OKA
Olympic Air,OA,OAL
Olympus Airways,,OLY
Oman Air,WY,OMA
Omni Air International,OY,OAE
Omni Air Transport,,DRL
Omni Aviation,,OAV
Omni Taxi Aereo,,OMI
One Airways,OX,OEW
Open Skies,LV,BOS
Orbest,6O,OBS
Orenburzhye,O7,ORG
Oriental Air Bridge,OC,ORC
Origin Air,OG,OGN
Ornge Air,,PUL
Oscar Jet,,OSJ
OSM Aviation Academy,,SCQ
OTT Airlines,JF,OTT
Overland Airways,OF,OLA
Oxford Aviation Academy,,OXF
Paccair,,WIS
Pacific Airline,BL,PIC
Pacific Coast Jet,,PXT
Pacific Coastal Airlines,8P,PCO
PADAviation,,PVD
Pakistan International Airlines,PK,PIA
PAL Airlines,PB,PVL
PAL Express,2P,GAP
Palau Express Airlines,P9,PXC
Palau National Airlines,4L,PNA
Pan Europeenne Air Service,,PEA
Pan Pacific Airlines,8Y,AAV
Panaviatic,,VPC
Panellenic Airlines,,RJB
Paranair,ZP,AZP
Pascan Aviation,P6,PSC
PassionAir,OP,DIG
Patient Airlift Services,,PLZ
Patria Pilot Training,,PPT
PAWA Dominicana,7N,PWD
Peach,MM,APJ
Pegas Fly,EO,KAR
Pegasus Airlines,PC,PGT
Pegasus Elite Aviation,,PEG
Pel-Air,,PFY
People's,PE,PEV
Perimeter Aviation,YP,PAG
PHI,,PHM
Philippine Airlines,PR,PAL
Philippines AirAsia,Z2,APG
Phoenix Air,PH,GRB
Piedmont Airlines,PT,PDT
Pilatus Flugzeugwerke,,PCH
Pilot Flight Academy,,PIP
Pineapple Air,,PNP
Pink Sparrow,,SOW
Pivot Airlines,ZX,GGN
PixAir Survey,,PXR
Planemaster Services,,PMS
PlaneSense,,CNS
Play,OG,FPY
Plus Ultra,PU,PUE
PNG Air,CG,TOK
Pobeda,DP,PBD
Polar Air Cargo,PO,PAC
Polar Airlines,PI,RKA
Polish Medical Air Rescue,,LPR
Porter Airlines,PD,POE
Portugália Airlines,NI,PGA
Poste Air Cargo,M4,MSA
Precision Air,PW,PRF
Premier Private Jets,,MVP
Presidential Aviation,,PRD
Priester Aviation,,PWA
Prime Aviation,,PRZ
Prince Aviation,,PNC
Priority Air Charter,,PRY
Privaira,,PVO
Private Jets,,OKC
Private Wings,8W,PWF
Privilege Style,P6,PVG
ProAir Aviation,,PAV
Proflight Air Services,P0,PFZ
PSA Airlines,OH,JIA
Qanot Sharq,HH,QNT
Qantas,QF,QFA
QantasLink,,QLK
Qatar - Amiri Flight,,QAF
Qatar Air Cargo,,QAC
Qatar Airways,QR,QTR
Qatar Executive,QE,QQE
Qazaq Air,IQ,QAZ
Qeshm Airlines,QB,QSM
Qingdao Airlines,QW,QDA
Qingdao Jiutian International Flight Academy,,QJT
Queen Air,,QNR
Quest Diagnostics,,LBQ
Quick Air Jet Charter,,QAJ
Quikjet Cargo Airlines,QO,FQA
RAF-Avia,MT,MTL
RAM Express,,RXP
Ravenair,,RVR
Raya Airways,TH,RMY
Rayani Air,RN,RKT
Reach Air Medical Services,,REH
Real Tonga Airline,,RLT
Rectrix Aviation,,RIX
Red Air,L5,REA
Red Wing Aeroplane,,LAK
Red Wings,WZ,RWZ
Redding Aero Enterprises,,BXR
Redstar Aviation,,RHH
Regent Airways,RX,RGE
Regional,YS,RAE
Regional Air Services,8N,REG
Republic Airways,YX,RPA
Rex,ZL,RXA
Rhoades Aviation,T4,RDS
Richland Aviation,,RCA
ROMCargo Airlines,NJ,RCR
Rose Air,,REM
Rossiya,FV,SDM
Rossiya - Special Flight Squadron,,RSD
Rotana Jet,RG,RJD
Royal Air Freight,,RAX
Royal Air Maroc,AT,RAM
Royal Brunei Airlines,BI,RBA
Royal Falcon,,RFJ
Royal Flight,RL,ABG
Royal Jordanian,RJ,RJA
Royal Wings,JO,RYW
Royalair Philippines,RW,RYL
Rubystar,,RSB
Ruili Airlines,DR,RLH
RUS Aviation,R4,RLB
Rusline,7R,RLU
Russia - Ministry of Emergency Situations (MChS),,SUM
Rutaca Airlines,5R,RUC
RVL Aviation,,REV
RwandAir,WB,RWD
RWL German Flight Academy,,RWL
Ryan Air (USA),7S,RYA
Ryanair,FR,RYR
Ryanair UK,RK,RUK
Ryukyu Air Commuter,,RAC
S7 Airlines,S7,SBI
SA Express,XZ,EXY
SAAB Aircraft,,SCT
SAAB Nyge Aero,,TGT
SAF Helicopteres,,SHP
Safarilink Aviation,F2,XLK
Safi Airways,4Q,SFW
Saha Airlines,,IRZ
SalamAir,OV,OMS
Salzburg Jet Aviation,,MOZ
Samoa Airways,OL,PAO
San Marino Executive Aviation,,SMF
Sansa,,LRS
Sapsan Airline,,KGB
Sardinian Sky Service,,SSR
SAS,SK,SAS
SAS Connect,SL,SZS
SATA Air Acores,SP,SAT
Satena,9R,NSE
Saudia,SV,SVA
Sawyer Aviation,,SJA
SaxonAir,,SXN
SBA Airlines,S3,BBR
Scanwings,,ABF
SCAT,DV,VSV
Scoot,TR,TGW
Seaborne,BB,SBS
SeaPort Airlines,K5,SQH
Secure Air Charter,,JCM
Sepehran Airlines,IS,SHI
Serene Air,ER,SEP
Servizi Aerei,,SNM
Sevenair,,RVP
Severstal Aircompany,D2,SSF
SF Airlines,O3,CSS
Shandong Airlines,SC,CDG
Shanghai Airlines,FM,CSH
Shenzhen Airlines,ZH,CSZ
Shirak Avia,,SHS
Shree Airlines,N9,SHA
Shuttle America,S5,TCF
Siam General Aviation,5E,SGN
Sichuan Airlines,3U,CSC
Sideral Linhas Aereas,,SID
Sierra West Airlines,P8,PKW
Silesia Air,,SUA
Silk Way Airlines,ZP,AZQ
Silk Way West Airlines,7L,AZG
Silver Air,,SIS
Silver Air,,SLD
Silver Airways,3M,SIL
Silver Cloud Air,,SCR
Silverhawk Aviation,,SLH
Silverstone Air Services,,SLR
Simrik Airlines,,RMK
Singapore Airlines,SQ,SIA
Singapore Airlines Cargo,,SQC
Sirio,,SIO
Sirius Aero,SA,CIG
SKS Airways,KI,SJB
Sky Airline,H2,SKU
Sky Airline Peru,H8,SKX
Sky Angkor Airlines,ZA,SWM
Sky Bus,,HVY
Sky Cana,RD,SNA
Sky Express,GQ,SEH
Sky Gates Airlines,U3,SAY
Sky KG Airlines,,KGK
Sky Lease Cargo,GG,KYE
Sky Mali,ML,FML
Sky Quest,,ERY
Skyborne Airline Academy,,SFY
Skybridge,,KYB
Skybus,,IOS
Skyfirst,,KFE
SkyJet Airlines,M8,MSJ
SkyLink Express,,SLQ
Skymark Airlines,BC,SKY
Skyservice Business Aviation,,SYB
Skytaxi,TE,IGA
Skytrans,QN,SKP
SkyUp Airlines,PQ,SQP
Skyward Express,OW,SEW
Skyway Enterprises,,SKZ
SkyWest Airlines,OO,SKW
Slam Lavori Aerei,,SLJ
Sloane Helicopters,,SLN
Smart Aviation,,SME
Smart Jet,,SAH
Smartavia,5N,AUL
Smartline,,SMG
SmartLynx,6Y,ART
SmartLynx Airlines Estonia,,MYX
SmartLynx Malta,2N,LYX
Smartwings,QS,TVS
Smartwings Hungary,7O,TVL
Smartwings Poland,3Z,TVP
Smartwings Slovakia,6D,TVQ
Solairus Aviation,,TWY
Solaseed Air,6J,SNJ
Solenta Aviation,,SET
Solid Air,,SOX
Solinair,SP,SOP
Solomon Airlines,IE,SOL
Somon Air,SZ,SMR
Songbird Airways,6K,SGB
Sounds Air,S8,SDA
South African Airways,SA,SAA
Southern Air,9S,SOO
Southern Air Charter,PL,SOA
Southern Airways Express,9X,FDY
Southern Cross International,,SXI
Southwest Airlines,WN,SWA
Sparfell Luftfahrt,,LDX
Speedwings Executive Jet,,SPG
SpiceJet,SG,SEJ
Spirit Airlines,NK,NKS
SpiritJets,,SJJ
Spring Airlines,9C,CQH
Spring Airlines Japan,IJ,SJO
SprintAir,P8,SRN
SriLankan Airlines,UL,ALK
Sriwijaya Air,SJ,SJY
St Barth Commuter,PV,SBU
St Barth Executive,,STB
STAjets,,KFB
Star Air,DJ,SRR
Star Air,S5,SDG
Star Air Cargo,,BRH
Star East Airlines,4R,SEK
Star Peru,2I,SRU
Star Wings,,STQ
Starflyer,7G,SFJ
Starlight Airlines,QP,SLT
Starlink Aviation,Q4,TLK
Starlux,JX,SJX
Sterling Aviation,,NSH
Suburban Air Freight,,SUB
Sudan Airways,SD,SUD
Sun Air,1Y,SNR
Sun Country Airlines,SY,SCX
Sun-Air,EZ,SUS
Sunair Aviation,ZU,SAV
Sunclass Airlines,DK,VKG
Suncor Energy,,JSN
Sundair,SR,SDR
Sundance Air Venezuela,R8,SUV
Sundt Air,,AKK
Sundt Air,,MDT
SunExpress,XQ,SXS
Sunkar Air,,BBK
Sunrise Airways,S6,KSZ
Sunstate Airlines,,SSQ
Sunwest Aviation,,CNK
Sunwing Airlines,WG,SWG
Suparna Airlines,Y8,YZR
Super Air Jet,IU,SJV
Surf Air,,URF
Surinam Airways,PY,SLM
Susi Air,,SQS
Svenskt Ambulansflyg,,SWE
Svenskt Industriflyg,,JET
Sweden - Swedish Maritime Administration,,HMF
Swiftair,WT,SWT
Swiftair Hellas,,MDF
Swiss,LX,SWR
Swiss Air-Ambulance,,SAZ
Swiss Flight Services,,SFS
Swiss Global Air Lines,LZ,SWU
Swiss Helicopter,,HSI
Swoop,WO,WSW
Sylt Air,7E,AWU
Syncrude Canada,,SYN
Syrian Air,RB,SYR
T'way Air,TW,TWB
TAAG Angola Airlines,DT,DTA
TAB Cargo,2L,BOL
Taban Airlines,,TBN
TAG Airlines,5U,TGU
TAG Aviation,,VIP
TAG Aviation Malta,,TEU
TAG Aviation San Marino,,TAG
Tailwind Air,TQ,PGN
Tailwind Airlines,TI,TWI
Tajik Air,7J,TJK
Talon Air,,TFF
Tanana Air Service,Z3,TNR
Tandem-Aero,TQ,TDM
TAP Air Portugal,TP,TAP
Taquan Air,K3,TQN
TAR Aerolineas,YQ,LCT
Tarco Air,3T,TQQ
Tarom,RO,ROT
Tasman Cargo Airlines,HJ,TMN
Tassili Airlines,SF,DTH
Tayaran Jet,,TJB
TCA,N6,TZS
Tchadia Airlines,OT,CDO
Ten Airways,X5,OTJ
Terra Avia,T8,TVR
Texel Air,,XLR
Tez Jet Airlines,,TEZ
Thai AirAsia,FD,AIQ
Thai AirAsia X,XJ,TAX
Thai Airways,TG,THA
Thai Eastar Jet,ZT,ESS
Thai Lion Air,SL,TLM
Thai Smile,WE,THD
Thai Vietjet Air,VZ,TVJ
The Little Jet Company,,LJC
Thomas Cook Airlines,MT,TCX
Thomas Cook Aviation,H3,TCN
Thrive,,TIV
Thunder Airlines,,THU
Tianjin Air Cargo,HT,CTJ
Tianjin Airlines,GS,GCR
Tiara Air,3P,TNM
Tibet Airlines,TV,TBA
Tigerair Taiwan,IT,TTW
Time Air,,TIE
Titan Airways,ZT,AWC
Titan Airways Malta,TM,TMT
Toll Aviation,,TFX
Total Cargo,L1,TTL
Toyo Aviation,,TOY
Trade Air,C3,TDR
Tradewind Aviation,TJ,GPD
Trans Air Congo,Q8,TSG
Trans Guyana Airways,,TGY
Trans Maldivian Airways,,TMW
Transair,R2,GTS
Transair,R9,MUI
Transavia,HV,TRA
Transavia France,TO,TVF
Transaviabaltika,,KTB
Transaviaexport Airlines,,TXC
TransNusa,8B,TNU
Transwest Air,4T,WEW
Travel Management Company,,TMC
Tri-MG Intra Asia Airlines,GM,TMG
Tri-State Aero,,TSS
Trigana Air,IL,TGN
Tropic Air,9N,TOS
Trujet,2T,TRJ
Tsaradia,TZ,TDS
TUI Airways,BY,TOM
TUI fly,X3,TUI
TUI fly Netherlands,OR,TFL
TUI fly Nordic,6B,BLX
TUIfly Belgium,TB,JAF
TUM AeroCarga,,MCS
Tunisair,TU,TAR
Tunisair Express,UG,TUX
Turkish Airlines,TK,THY
Turkmenistan Airlines,T5,TUA
Turkuaz Airlines,,TRK
Turpial Airlines,T9,VTU
Tus Airways,U8,CYF
Twin Jet,T7,TJT
Tyrol Air Ambulance,,TYW
Tyrolean Jet Service,,TJS
UG Jet,,UGJ
Uganda Airlines,UR,UGD
Ukraine Air Alliance,,UKL
Ukraine International Airlines,PS,AUI
Ukrainian Mediterranean Airlines,UF,UKM
Ukrainian Wings,,UWJ
ULS Airlines Cargo,GO,KZU
Ultimate Air Shuttle,UE,UJC
UNI Air,B7,UIA
Uni-Top Airlines,UW,UTP
Union Aviation,,UAG
Unique Air,,UQA
United Airlines,UA,UAL
United Nations,,UNO
United Nigeria Airlines,U5,NUA
United States - US Forest Service,,XCN
Uniworld Air Cargo,U7,UCG
UPS,5X,UPS
UR Airlines,UD,UBD
Ural Airlines,U6,SVR
Urumqi Airlines,UQ,CUH
US-Bangla Airlines,BS,UBG
USA Jet Airlines,,JUS
UTair,UT,UTA
UVT Aero,RT,UVT
Uzbekistan Airways,HY,UZB
V Air,ZV,VAX
Valair,,VVV
Valljet,,VLJ
Van Air Europe,V9,VAA
Vanilla Air,JW,VNL
Varesh Airlines,,VRH
Vasco,0V,VFC
Venezolana,,VNE
Veteran Airline,,VTF
Veteran Airlines,,VPB
VI Airlink,,VIL
ViaAir,VC,SRY
Vieques Air Link,V4,VES
VietJet Air,VJ,VJC
Vietnam Airlines,VN,HVN
Vietravel Airlines,VU,VAG
VIM Airlines,NN,MOV
Virgin America,VX,VRD
Virgin Atlantic,VS,VIR
Virgin Atlantic International,,VGI
Virgin Australia,VA,VOZ
Virgin Australia Regional,,OZW
Vision Air International,,VIS
Vision Airlines,V2,RBY
VistaJet,,VJT
Vistara,UK,VTI
Viva Air,VH,VVC
Viva Air Peru,VV,VPE
VivaAerobus,VB,VIV
VoePass Linhas Aereas,2Z,PTB
Volare Aviation,,VLZ
Volaris,Y4,VOI
Volaris Costa Rica,Q6,VOC
Volaris El Salvador,N3,VOS
Volga-Dnepr Airlines,VI,VDA
Volotea,V7,VOE
Voluxis,,VXS
Voyage Air,VO,VRG
Voyageur Airways,VC,VAL
Vueling,VY,VLG
VW Air Service,,BTX
Waltzing Matilda Aviation,MW,WZM
Wamos Air,EB,PLM
Warbelows Air Ventures,4W,WAV
Wasaya Airways,,WSG
Wataniya Airways,,WAN
West Air,PN,CHB
West Air,,WLX
West Air,,PCM
West Air Sweden,,SWN
West Atlantic,,NPT
West Coast Charters,,WCC
Westair Aviation,WV,WAA
Western Air,WU,WST
Western Air Express,,WAE
Western Aircraft,ST,STT
Western Global Airlines,KD,WGN
WestJet,WS,WJA
WestJet Encore,WR,WEN
White,WI,WHT
Wideroe,WF,WIF
Wiggins Airways,,WIG
Wiking Helikopter Service,,WHS
Winair,WM,WIA
Windrose Air Jetcharter,,QGA
Windrose Airlines,7W,WRC
Wingo,P5,RPB
Wings Air,IW,WON
Wings of Lebanon,W7,WLB
Wizz Air,W6,WZZ
Wizz Air Abu Dhabi,5W,WAZ
Wizz Air UK,W9,WUK
World Atlantic Airlines,WL,WAL
World Cargo Airlines,3G,WCM
World2Fly,2W,WFL
Worldwide Jet Charter,,WWI
Wright Air Service,8V,WRF
Xfly,EE,EST
Xiamen Air,MF,CXA
Xo,,XOJ
Yakutia Airlines,R3,SYL
Yamal Airlines,YC,LLM
YanAir,YE,ANR
Yemenia,IY,IYE
Yeti Airlines,YT,NYT
YTO Cargo Airlines,YG,HYT
Zagros Airlines,ZO,IZG
Zambia Airways,ZN,AZB
Zambian Airways,,MBN
Zanair,,TAN
Zenflight,,XEN
Zenith Aviation,,BZE
Zetavia,ZK,ZAV
Zimex Aviation,XM,IMX
Zimex Aviation Austria,,AZD
ZIPAIR,ZG,TZP
Zorex,,ORZ
